trial_id,scraped_at,extractor_version,has_participant_flow,dropout_rate_pct,started_n,completed_n,recency_decay,missing_enrollment,parse_warning
NCT00798161,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.3,857,743,1.0,False,
NCT01189890,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,15.8,480,404,0.316529,False,
NCT01708902,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.4,873,791,0.35786,False,
NCT00106704,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,63.9,441,159,0.190909,False,
NCT01368081,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.3,1160,1064,0.328159,False,
NCT02413398,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.4,321,310,0.489083,False,
NCT00614939,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,45.9,170,92,0.25113,False,
NCT01959529,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.9,7637,7489,0.446155,False,
NCT00915772,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,19.6,566,455,1.0,False,
NCT04707469,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.5,1606,1502,0.776432,False,
NCT00740051,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,22.0,227,177,1.0,False,
NCT03285594,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.0,571,508,0.575988,False,
NCT00641056,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.6,467,413,0.244077,False,
NCT03730662,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.0,2002,1801,0.659911,False,
NCT03259789,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.4,351,311,0.543187,False,
NCT02926950,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.7,518,421,0.550717,False,
NCT03861052,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.3,636,615,0.656473,False,
NCT00955747,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,27.9,494,356,0.264217,False,
NCT00838916,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,19.7,745,598,0.330504,False,
NCT01572740,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.3,257,246,0.327769,False,
NCT01306214,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.8,566,488,0.328159,False,
NCT01388361,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.2,413,375,0.307494,False,
NCT02926937,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.3,399,354,0.558087,False,
NCT01841697,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.9,642,604,0.377941,False,
NCT00332488,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,37.5,528,330,1.0,False,
NCT00673231,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.8,807,712,0.270051,False,
NCT01106651,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,27.2,714,520,0.330504,False,
NCT00789737,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,28.9,357,254,0.292333,False,
NCT04588259,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.0,331,288,0.7378,False,
NCT01682759,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.5,751,612,0.384274,False,
NCT03086330,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,2.6,302,294,0.521703,False,
NCT01606007,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.2,534,490,0.350295,False,
NCT00121667,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,69.2,743,229,0.249466,False,
NCT01517412,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.3,451,391,0.330504,False,
NCT01618162,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,16.8,435,362,0.344523,False,
NCT00859898,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.5,638,552,0.254793,False,
NCT02683746,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.7,308,278,0.469071,False,
NCT00528879,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,37.9,546,339,0.254793,False,
NCT01590771,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.6,498,440,0.365067,False,
NCT04560998,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.9,792,745,0.87262,False,
NCT00713830,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,30.2,859,600,0.270051,False,
NCT00395512,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,21.5,655,514,0.209726,False,
NCT01294423,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.4,261,239,0.298717,False,
NCT01387737,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.7,1299,1173,0.318867,False,
NCT02558296,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.6,1700,1469,0.579553,False,
NCT01095666,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.9,444,409,0.325753,False,
NCT01594333,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.5,4786,4474,0.580517,False,
NCT01778049,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,38.5,709,436,0.387388,False,
NCT01263483,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.1,230,216,0.212734,False,
NCT00350779,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,16.4,262,219,0.21635,False,
NCT01032629,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.7,4330,3996,0.460028,False,
NCT00621140,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.6,503,470,1.0,False,
NCT01545388,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.0,337,310,0.326604,False,
NCT00286468,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,27.4,500,363,0.197876,False,
NCT00722371,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,25.3,1615,1207,0.275424,False,
NCT04233801,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,2.7,219,213,0.712329,False,
NCT00081328,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,0.0,699,699,0.352883,False,
NCT01272232,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,29.2,846,599,0.323058,False,
NCT01026194,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.3,204,179,0.279906,False,
NCT05413369,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.1,582,558,0.819223,False,
NCT01106690,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,23.1,342,263,0.307494,False,
NCT01717313,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.2,329,269,0.397636,False,
NCT00603291,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,33.6,604,401,0.264217,False,
NCT00308139,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,59.7,303,122,0.368375,False,
NCT01296412,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.5,653,532,0.298646,False,
NCT01042977,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.9,965,869,0.318867,False,
NCT02320721,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.0,1014,953,0.428712,False,
NCT01003184,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,14.0,222,191,0.292333,False,
NCT00676338,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,15.1,820,696,0.270051,False,
NCT04660643,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,23.4,783,600,0.789629,False,
NCT00141453,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.9,577,566,0.227085,False,
NCT00688701,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.3,361,331,0.245822,False,
NCT00086502,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.0,353,307,0.172548,False,
NCT00286429,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,44.9,390,215,0.196426,False,
NCT02863419,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.7,711,685,0.50597,False,
NCT01777282,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.0,374,344,0.384365,False,
